object_name,asset_name,x,y,z
sofa,sofa_0012.obj,0,0,-90
bathtub,bathtub_0001.obj,0,0,-180
bathtub,bathtub_0002.obj,0,0,-180
bathtub,bathtub_0003.obj,0,0,-180
bed,bed_0001.obj,0,0,0
bed,bed_0006.obj,270,0,0
bed,bed_0008.obj,0,0,-180
bed,bed_0011.obj,0,0,-90
bed,bed_0012.obj,0,0,-90
bed,bed_0013.obj,0,0,-90
bed,bed_0014.obj,0,0,-90
bed_frame,bed_frame_0001.obj,0,0,90
bin,bin_0001.obj,0,0,0
bin,bin_0002.obj,90,0,0
black_board,black_board_0001.obj,0,0,0
black_board,black_board_0002.obj,0,0,90
blanket,blanket_0002.obj,0,0,56
blinds,blinds_0001.obj,0,0,-90
blinds,blinds_0002.obj,0,0,-90
blinds,blinds_0003.obj,-90,0,0
book,book_0001.obj,0,0,-180
book,book_0004.obj,10,0,0
book_case,book_case_0004.obj,0,0,-20
book_case,book_case_0005.obj,0,0,-180
boots,boots_0002.obj,-33,15,-90
bowl,bowl_0001.obj,0,0,0
bowl,bowl_0003.obj,0,0,0
bowl,bowl_0004.obj,0,0,0
bowl,bowl_0006.obj,0,0,0
Box,box_0001.obj,0,0,0
box,box_0002.obj,0,0,-90
cabinet,cabinet_0001.obj,0,0,0
cabinet,cabinet_0002.obj,90,180,-270
cap,cap_0001.obj,0,0,-90
cereal_box,cereal_box_0001.obj,0,0,90
chair,chair_0002.obj,0,0,25
chair,chair_0003.obj,0,0,-180
chair,chair_0004.obj,0,0,0
chair,chair_0005.obj,0,0,-120
chair,chair_0006.obj,0,0,90
clock,clock_0001.obj,0,90,0
clock,clock_0003.obj,0,90,0
clock,clock_0007.obj,0,90,0
clock,clock_0008.obj,0,90,0
clock,clock_0009.obj,0,90,0
clock,clock_0010.obj,0,90,0
clock,clock_0011.obj,0,90,0
closet,closet_0005.obj,0,0,-180
clothes,clothes_0001.obj,0,0,-90
coffee_machine,coffee_machine_0003.obj,0,0,-180
coffee_mug,coffee_mug_0001.obj,0,0,0
coffee_mug,coffee_mug_0002.obj,0,0,0
coffee_mug,coffee_mug_0003.obj,0,0,0
coffee_mug,coffee_mug_0004.obj,0,0,0
coffee_mug,coffee_mug_0005.obj,0,0,0
coffee_mug,coffee_mug_0007.obj,0,0,0
coffee_mug,coffee_mug_0008.obj,0,0,0
coffee_table,coffee_table_0001.obj,0,0,0
coffee_table,coffee_table_0002.obj,0,0,0
coffee_table,coffee_table_0003.obj,0,0,0
coffee_table,coffee_table_0004.obj,0,0,0
coffee_table,coffee_table_0005.obj,0,0,0
coffee_table,coffee_table_0006.obj,0,0,0
coffee_table,coffee_table_0007.obj,0,0,0
coffee_table,coffee_table_0008.obj,0,0,0
coffee_table,coffee_table_0009.obj,0,0,0
computer_bag,computer_bag_0001.obj,-83,34,91
cupboard,cupboard_0001.obj,90,0,-90
cupboard,cupboard_0002.obj,0,0,-90
cupboard,cupboard_0003.obj,0,0,-180
curtain,curtain_0001.obj,0,0,-90
curtain,curtain_0002.obj,0,0,-180
curtain,curtain_0003.obj,0,0,90
curtain,curtain_0004.obj,0,0,-180
curtain,curtain_0005.obj,0,0,-90
curtain,curtain_0006.obj,0,0,-90
curtain,curtain_0007.obj,90,0,-180
curtain,curtain_0008.obj,90,0,-90
desk,desk_0001.obj,0,0,-90
desk,desk_0002.obj,0,0,-90
desk,desk_0007.obj,0,0,-90
dining_table,dining_table_0001.obj,0,0,-82
dining_table,dining_table_0002.obj,0,0,0
dining_table,dining_table_0004.obj,0,0,-90
dining_table,dining_table_0006.obj,0,0,-90
door,door_0001.obj,0,0,-90
door,door_0002.obj,0,0,-90
door,door_0004.obj,0,0,-180
door,door_0005.obj,0,0,-180
flute,flute_0001.obj,0,0,0
fridge,fridge_0003.obj,180,0,90
fridge,fridge_0006.obj,90,0,90
helmet,helmet_0001.obj,0,0,-90
helmet,helmet_0002.obj,0,0,90
helmet,helmet_0003.obj,0,0,-90
hot_pot,hot_pot_0001.obj,0,0,0
lamp,lamp_0003.obj,0,0,0
lamp,lamp_0007.obj,90,0,0
lamp,lamp_0008.obj,90,0,0
lamp,lamp_0009.obj,90,0,0
lamp,lamp_0010.obj,90,0,90
laptop,laptop_0001.obj,0,0,-90
microwave_oven,microwave_oven_0002.obj,0,0,-90
mirror,mirror_0001.obj,0,0,-90
mirror,mirror_0002.obj,0,0,-180
night_stand,night_stand_0004.obj,0,0,0
office_chair,office_chair_0002.obj,0,0,-90
office_chair,office_chair_0003.obj,0,0,70
office_chair,office_chair_0004.obj,0,0,0
office_chair,office_chair_0007.obj,0,0,-90
opaque_window,opaque_window_0001.obj,0,0,-180
opaque_window,opaque_window_0002.obj,0,0,-90
painting,painting_0001.obj,0,0,-90
painting,painting_0002.obj,0,0,-180
pillow,pillow_0001.obj,0,0,0
pillow,pillow_0003.obj,0,0,0
pillow,pillow_0004.obj,0,0,-180
plant,plant_0001.obj,0,0,0
plant,plant_0005.obj,0,0,0
plant,plant_0008.obj,0,0,0
plaque,plaque_0001.obj,90,0,-90
power_outlet,power_outlet_0001.obj,0,0,-180
power_outlet,power_outlet_0002.obj,0,0,-180
printer,printer_0001.obj,0,0,-90
projector,projector_0002.obj,0,0,0
sink,sink_0001.obj,0,0,-90
sink,sink_0002.obj,0,0,-90
soda_can,soda_can_0001.obj,0,0,0
soda_can,soda_can_0002.obj,0,0,0
soda_can,soda_can_0003.obj,0,0,0
soda_can,soda_can_0004.obj,90,0,-90
sofa,sofa_0001.obj,0,0,-90
sofa,sofa_0002.obj,0,0,-90
sofa,sofa_0004.obj,0,0,-90
sofa,sofa_0005.obj,0,0,-90
sofa,sofa_0006.obj,0,0,-90
sofa,sofa_0007.obj,0,0,0
sofa,sofa_0008.obj,0,0,-90
sofa,sofa_0009.obj,0,0,-90
sofa,sofa_0010.obj,0,0,-90
sofa,sofa_0011.obj,0,0,-90
sofa,sofa_0012.obj,0,0,-90
sofa,sofa_0013.obj,0,0,-90
sofa,sofa_0014.obj,0,0,-180
sofa,sofa_0015.obj,0,0,-90
sofa_chair,sofa_chair_0002.obj,0,0,150
sofa_chair,sofa_chair_0003.obj,0,0,-90
sofa_chair,sofa_chair_0004.obj,0,0,-90
sofa_chair,sofa_chair_0006.obj,0,0,-90
sofa_chair,sofa_chair_0010.obj,0,0,0
sofa_chair,sofa_chair_0012.obj,0,0,-90
sofa_chair,sofa_chair_0013.obj,0,0,-90
sofa_chair,sofa_chair_0014.obj,0,0,-90
speaker,speaker_0001.obj,0,0,-90
speaker,speaker_0003.obj,0,0,0
speaker,speaker_0006.obj,0,0,-90
speaker,speaker_0007.obj,0,0,-90
stand,stand_0001.obj,90,0,0
switch,switch_0001.obj,0,0,-180
switch,switch_0002.obj,0,0,-180
table,table_0001.obj,0,0,-90
table,table_0002.obj,0,0,0
table,table_0004.obj,0,0,-90
table,table_0006.obj,0,0,-90
telephone,telephone_0001.obj,0,0,0
telephone,telephone_0002.obj,0,0,-180
telephone,telephone_0004.obj,0,0,-90
telephone,telephone_0005.obj,0,0,-90
telephone,telephone_0006.obj,0,0,-90
toilet,toilet_0001.obj,0,0,-90
toilet_paper,toilet_paper_0001.obj,0,0,0
toilet_paper,toilet_paper_0002.obj,0,0,0
towel,towel_0001.obj,0,0,0
towel,towel_0002.obj,-90,5,-90
trash_bin,trash_bin_0001.obj,0,0,-90
trash_bin,trash_bin_0002.obj,90,0,-90
trash_bin,trash_bin_0003.obj,90,0,-90
trash_can,trash_can_0001.obj,0,0,-90
trash_can,trash_can_0002.obj,90,0,0
trash_can,trash_can_0003.obj,90,0,-90
trash_can,trash_can_0004.obj,90,0,-90
trash_can,trash_can_0005.obj,90,0,-180
tv,tv_0001.obj,-90,0,-90
tv,tv_0002.obj,90,0,-90
tv,tv_0003.obj,0,0,-90
tv,tv_0004.obj,-90,0,-90
tv_stand,tv_stand_0001.obj,-90,0,90
wall,wall_0001.obj,0,0,-180
wall,wall_0002.obj,0,0,90
window,window_0001.obj,90,180,0
window,window_0002.obj,0,0,-90
window,window_0003.obj,0,0,-90
